Zip,CD110,privatepartyexcellent,privatepartyfair,privatepartygood,privatepartyverygood,min-tradeinfair,tradeinfair,max-tradeinfair,min-tradeingood,tradeingood,max-tradeingood,min-tradeinverygood,tradeinverygood,max-tradeinverygood
33598,FL-13,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33701,FL-10,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33901,FL-14,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30002,GA-04,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30004,GA-06,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30004,GA-09,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30005,GA-07,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30008,GA-11,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30008,GA-13,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30013,GA-08,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30030,GA-05,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30055,GA-10,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30094,GA-03,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30401,GA-12,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
30411,GA-01,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
31006,GA-02,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
96701,HI-01,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
96703,HI-02,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
83120,ID-02,17394,14894,16294,16844,12305,12655,13040,13974,14355,14735,14683,15055,15426
83302,ID-01,17394,14894,16294,16844,12305,12655,13040,13974,14355,14735,14683,15055,15426
52761,IL-17,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
60002,IL-08,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60004,IL-10,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60005,IL-06,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60010,IL-14,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60010,IL-16,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60016,IL-09,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60018,IL-05,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60104,IL-07,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60126,IL-03,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60126,IL-04,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60181,IL-13,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60401,IL-11,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60406,IL-01,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60406,IL-02,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
60420,IL-15,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
61314,IL-18,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
61914,IL-19,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
62002,IL-12,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
46001,IN-06,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
46030,IN-05,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
46035,IN-04,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
